Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
Almost Perfect,"Katcher, Brian",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Almost Perfect,"Katcher, Brian",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
And Tango Makes Three,"Richardson, Justin",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
"Angus, Thongs and Full-Frontal Snogging","Rennison, Louise",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
Anno Dracula - 1895: Seven Days in Mayhem,"Newman, Kim",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Ask the Passengers,"King, A. S.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Beautiful Boy: A Father's Journey Through His Son's Addiction,"Sheff, David",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Being Jazz: My Life as a (Transgender) Teen,"Jennings, Jazz",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Beloved,"Morrison, Toni",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Beloved,"Morrison, Toni",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Boy Girl Boy,"Koertge, Ron",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Brave New World,"Huxley, Aldous",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Brazen: Rebel Ladies Who Rocked the World,"Bagieu, Pénélope",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Burned (EH),"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Catching Fire,"Collins, Suzanne",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Clockwork Princess,"Clare, Cassandra",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Crank,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Cut,"McCormick, Patricia",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Damsel,"Arnold, Elana K.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Dancing in my nuddy-pants: Even further confessions of Georgia Nicolson,"Rennison, Louise",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
Dear Martin,"Stone, Nic",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Delores Claiborne,"King, Stephen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Different Seasons: Four Novellas,"King, Stephen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Drama: A Graphic Novel,"Telgemeier, Raina",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Dreaming in Cuban,"García, Cristina",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Empire of Storms,"Maas, Sarah J.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Fade,"McMann, Lisa",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Fallout,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Fangirl,"Rowell, Rainbow",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Forever...,"Blume, Judy",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
"Fruits Basket, Vol. 14","Takaya, Natsuki",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Fruits Basket, Vol. 17","Takaya, Natsuki",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Gabi, a Girl in Pieces","Quintero, Isabel",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Gender Queer: A Memoir,"Kobabe, Maia",Pennsylvania,Central Bucks School District,Dec-22,Banned from Libraries and Classrooms,Formal Challenge
Girl in Pieces,"Glasgow, Kathleen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Girls from Da Hood,"Turner, Nikki",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Girls from Da Hood 2,"Turner, Nikki",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Glass,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Go Ask Alice,"Sparks, Beatrice",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Go Set a Watchman,"Lee, Harper",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Gyo, Vol. 1: The Death-Stench Creeps","Ito, Junji",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Hama-Kimi: For You In Full Blossom, Vol. 1","Nakajo, Hisaya",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Hama-Kimi: For You In Full Blossom, Vol. 3","Nakajo, Hisaya",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Heir of Fire,"Maas, Sarah J.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"High School of the Dead, Vol. 1","Sato, Daisuke",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Hold Still,"LaCour, Nina",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Holding up the Universe,"Niven, Jennifer",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Human Sexuality: Opposing Viewpoints,"Leone, Bruno",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Hunting the Devil: The Pursuit, Capture and Confession of the Most Savage Serial Killer in History","Lourie, Richard",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
I Know Why The Caged Bird Sings,"Angelou, Maya",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
I'll Give You the Sun,"Nelson, Jandy",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Identical,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Impulse,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Infandous,"Arnold, Elana K.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
It Ends With Us,"Hoover, Colleen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Karakuridoji Ultimo, Vol. 1","Lee, Stan",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Killing Mr. Griffin,"Duncan, Lois",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Kissing Kate,"Myracle, Lauren",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"l8r, g8r","Myracle, Lauren",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
Lucky,"Sebold, Alice",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Maid Sama,"Fujiwara, Hiro",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Mangaman,"Lyga, Barry",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Melissa (George),"Gino, Alex",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Mockingjay,"Collins, Suzanne",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Monday's Not Coming,"Jackson, Tiffany D.",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
More Happy Than Not,"Silvera, Adam",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
"My Hero Academia: School Briefs, Vol. 2: Training Camp","Yoshi, Anri",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
"My Hero Academia: School Briefs, Vol. 4: Festival for All","Yoshi, Anri",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
"My Hero Academia: School Briefs, Vol. 5","Yoshi, Anri",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
My Life Among the Serial Killers: Inside the Minds of the World's Most Notorious Murders,"Morrison, Helen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Native Son,"Wright, Richard",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Nineteen Minutes,"Picoult, Jodi",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
Nineteen Minutes,"Picoult, Jodi",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
"On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)","Rennison, Louise",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
Out of Darkness,"Pérez, Ashley Hope",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Outlander,"Gabaldon, Diana",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Overkill: Mass Murder and Serial Killing Exposed,"Fox, James Alan",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Pedro and Me: Friendship, Loss, and What I Learned","Winick, Judd",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
People Kill People,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Perfect,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Pet Sematary,"King, Stephen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Please Ignore Vera Dietz,"King, A. S.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Push,Sapphire,Pennsylvania,Central York School District,Jan-23,Banned from Libraries and Classrooms,Formal Challenge
Queen of Shadows,"Maas, Sarah J.",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Reader's Digest Family Guide to the Bible,Editors of the Reader's Digest,Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Revival,"King, Stephen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Rhymes with Witches,"Myracle, Lauren",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Robin Williams,"Dougan, Andy",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Rumble,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Sex (TLR),"Roleff, Tamara L.",Pennsylvania,Penncrest School District,Feb-23,Banned from Libraries and Classrooms,Administration
Sloppy Firsts,"McCafferty, Megan",Pennsylvania,Pleasant Valley School District,Jul-22,Banned Pending Investigation,Informal Challenge
Smoke,"Hopkins, Ellen",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Sold,"McCormick, Patricia",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Speak,"Anderson, Laurie Halse",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
Staying Fat for Sarah Byrnes,"Crutcher, Chris",Pennsylvania,Selinsgrove Area School District,Feb-23,Banned from Classrooms,Informal Challenge
Surveys,"Stagg, Natasha",Pennsylvania,Perkiomen Valley School District,Mar-23,Banned from Libraries and Classrooms,Formal Challenge
That's Disgusting: Unraveling the Mysteries of Repulsion,"Herz, Rachel",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",Pennsylvania,Penncrest School District,Feb-23,Banned Pending Investigation,Administration
